kategorije,naslov,ocena,stevilo_glasov,avtor,lestvica,starost,stevilo_strani,mesec,datum,zaloznik,drzava,jezik

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Self-Esteem']",MOCKINGJAY . THE HUNGER GAMES,4.07,2885604,"Collins, Suzanne","65,920",12-17,400,Mar,2014,SCHOLASTIC,United States,Spanish

"['Sci Fi Books for Kids', 'Romance Books for Teenagers']",The Vampire Diaries: The Salvation: Unspoken : Book 12,3.79,2333,L.J. Smith,"69,088",12-15,304,Nov,2013,Hachette Children's Group,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids']",Treasure Hunters: Secret of the Forbidden City : (Treasure Hunters 3),4.39,2161,James Patterson,"67,311",9+,448,Sep,2015,Cornerstone,United Kingdom,English

"['Classic Books & Novels', 'Fantasy', 'Fantasy Books', 'Myth & Legend Told As Fiction', 'Adventure Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Religion & Beliefs']",The Hobbit Facsimile Gift Edition [Lenticular cover],4.28,3590560,J. R. R. Tolkien,"17,681",12-15,312,Jun,2018,HarperCollins Publishers,United Kingdom,English

"['Fantasy', 'Fantasy Books', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'School Stories']",Harry Potter Und Der Halbblutprinz,4.58,2996448,J. K. Rowling,"21,811",9+,655,Apr,2010,Carlsen Verlag GmbH,Germany,German

"['Adventure Books', 'Fantasy', 'Fantasy Books', 'Children's Fiction', 'Adventure Books for Kids', 'Fantasy Books for Kids']","WorldEnd, Vol. 2",4.04,193,Ue,"23,425",12-15,192,Nov,2018,"Little, Brown & Company",United States,English

['Mathematics & Numeracy'],Best of Times : Maths Strategy,4.07,243,Harry Briggs,"69,064",9-12,32,Sep,2002,Scholastic US,United States,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's General Story Books', 'Fantasy Books for Kids']","Bleach, Vol. 39",4.19,3125,Tite Kubo,"45,562",12-15,192,Apr,2012,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Sociology', 'Sociology: Customs & Traditions', 'Social & Cultural Anthropology', 'Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Family', 'Historical', 'Battles', 'People & Places']",When My Name Was Keoko,4.14,6443,Mrs Linda Sue Park,"70,132",9-12,208,Apr,2012,Clarion Books,,English

"['Children's Fiction', 'Nonfiction History Books for Kids', 'People & Places', 'History Books for Kids']",Who Was Queen Victoria?,4.07,630,Max Hergenrother,"58,744",9-12,112,Jul,2014,Grosset and Dunlap,United States,English

"['Children's Fiction', 'Thriller Books for Children', 'Romance Books for Teenagers']",Stolen,3.9,78555,Lucy Christopher,"26,055",12-17,320,Sep,2013,Chicken House Ltd,United Kingdom,English

"['Films, Cinema', 'Films, Cinema', 'Film Theory & Criticism', 'Film Theory & Criticism', 'Film Guides & Reviews', 'Film Guides & Reviews', 'Film: Styles & Genres', 'Film: Styles & Genres', 'Dictionaries & Dictionary Books', 'Literary Studies: Fiction, Novelists & Prose Writers', 'Contemporary Fiction', 'Science Fiction', 'Science Fiction', 'Fiction-related Items', 'Fiction Companions', 'Television & Film']",Star Wars The Rise of Skywalker The Visual Dictionary : With Exclusive Cross-Sections,4.05,508,Chris Terrio,"69,210",12-15,200,Mar,2020,Dorling Kindersley Ltd,United Kingdom,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Fantasy Books for Kids']",The Forever Court (Knights of the Borrowed Dark Book 2),4.09,520,Dave Rudden,"74,073",9+,416,Apr,2017,Penguin Random House Children's UK,United Kingdom,English

"['Romance', 'Romance Books', 'Adult & Contemporary Romance', 'Adult & Contemporary Romance', 'Romance Books for Teenagers']",Tal vez mañana,4.11,353094,Colleen Hoover,"67,858",12-15,560,May,2022,BOOKET,Spain,Spanish

"['Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",The Emerald Atlas:The Books of Beginning 1,3.94,21765,John Stephens,"69,589",12-17,432,Oct,2014,Penguin Random House Children's UK,United Kingdom,English

"['Activity Books', 'Non-Fiction', 'Handicrafts', 'Children's Hobby & Gaming Books']","Genius LEGO Inventions with Bricks You Already Have : 40+ New Robots, Vehicles, Contraptions, Gadgets, Games and Other STEM Projects with Real Moving Parts",4.49,41,Sarah Dees,"62,446",12-15,192,Nov,2018,Page Street Publishing Co.,United States,English

"['Handicrafts', 'Children's Hobby & Gaming Books']",Julie Mini Doll & Book,,,American Girl Editors,"68,929",9-12,,Aug,2014,American Girl Publishing Inc,,English

"['Children's General Story Books', 'Family', 'Society & Social Issues', 'Family Issues', 'Death & Bereavement']",If I Stay,3.93,846457,Gayle Forman,"68,920",12-17,208,Apr,2009,Dutton Books for Young Readers,United States,English

"['Art', 'Natural History Books for Children', 'Wildlife', 'Children's Hobby & Gaming Books', 'Art & Design']",How to Draw Animals,4.18,57,How to Draw,"70,055",9-12,64,May,2008,Dover Publications Inc.,United States,English

"['Teaching Resources & Education', 'Teaching Resources & Education', 'Children's Foreign Language Books']",German for Beginners,3.85,33,John Shackell,"68,739",9-12,48,Mar,2021,Usborne Publishing Ltd,United Kingdom,"English, German"

"['Children's Fiction', 'Science', 'Sciences']",Mistakes That Worked : The World's Familiar Inventions and How They Came to Be,4.07,733,John O'Brien,"70,808",9-12,96,Oct,2016,Random House USA Inc,United States,English

"['Early Learning', 'ABC', 'Poetry Books for Kids', 'Funny Books for Kids', 'Wildlife', 'English Language: Reading Schemes', 'Biology']",On Beyond Bugs,4.22,587,Aristides Ruiz,"67,624",9-12,48,Jun,2001,HarperCollins Publishers,United Kingdom,English

"['Christian Prayerbooks', 'People & Places', 'Bible Stories', 'Children's Christian Books']",3-Minute Devotions for Girls : 180 Inspirational Readings for Young Hearts,4.55,71,Dr Janice Thompson,"67,828",9-12,186,May,2014,"Barbour Publishing Inc, U.S.",United States,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Anthologies', 'Children's Fiction', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Short Stories for Kids', 'Graphic Novels']",Explorer : The Hidden Doors,3.96,1658,Kazu Kibuishi,"46,879",9-12,128,Oct,2014,ABRAMS,United States,English

"['Classic Books for Children', 'Adventure Books for Kids', 'Mystery Books for Kids']",Famous Five: Five Go Off In A Caravan : Book 5,4.02,13170,Enid Blyton,"67,493",9+,224,May,2012,Hachette Children's Group,United Kingdom,English

"['Children's General Story Books', 'Thriller Books for Children', 'Mystery Books for Kids', 'Sci Fi Books for Kids']",Fragments,4.1,25785,Dan Wells,"55,085",13+,482,Mar,2013,HarperCollins Publishers,United Kingdom,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels']",Lucky Luke Vol. 72: Marcel Dalton,3.51,196,Morris,"66,316",12-15,48,Jun,2019,Cinebook Ltd,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Science', 'Society & Social Issues']",Cosmic,3.93,5412,Frank Cottrell Boyce,"65,748",9-12,336,Jun,2011,HarperCollins Publishers Inc,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Mystery Books for Kids', 'Family Issues', 'Family Break-Up', 'Death & Bereavement']",Looking for JJ,3.74,6226,Anne Cassidy,"69,005",11+,304,Aug,2013,Scholastic,United Kingdom,English

"['Contemporary Fiction', 'Fantasy', 'Fantasy Books', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",Harry Potter and the Half-Blood Prince,4.58,2963284,J.K. Rowling,"69,606",9+,,Jan,2018,Bloomsbury Publishing PLC,United Kingdom,English

"['Language Teaching & Learning Material & Coursework', 'Language Self-study Texts', 'Teaching Resources & Education', 'Teaching Resources & Education', 'English Language', 'Children's Foreign Language Books']",Chineasy (TM) Memory Game,,,Shaolan,"68,768",12-17,,May,2015,Thames & Hudson Ltd,United Kingdom,English

"['General Reference', 'Society & Social Issues', 'Children's Health Books', 'Sex Education', 'Relationships']",Asking About Sex & Growing Up : A Question-and-Answer Book for Kids,3.99,164,Bill Thomas,"65,160",9-12,96,Jul,2009,HarperCollins Publishers Inc,United States,English

"['History Of The Americas', 'Military History', 'Study & Learning Skills: General', 'Study & Learning Skills: General', 'History Books for Kids']",The USA Between the Wars 1919-1941: A depth study,3.4,5,Terry Fiehn,"69,022",12-15,136,Mar,1998,Hodder Education,United Kingdom,English

"['Classic Books for Children', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional']",Gone-Away Lake : A Newbery Honor Award Winner,4.13,7663,Krush,"69,311",9-12,272,Mar,2000,"Cengage Learning, Inc",United States,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Historical']",Magic Tree House 6: Adventure on the Amazon,3.96,15861,Mary Pope Osborne,"12,177",12-17,80,May,2008,Penguin Random House Children's UK,United Kingdom,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Graphic Novels']",Percy Jackson and the Olympians the Lightning Thief: The Graphic Novel,4.38,85083,Jose Villarrubia,"13,166",9-12,128,Oct,2010,Disney-Hyperion,United States,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Graphic Novels']","Dragon Ball Z, Vol. 9",4.37,1884,Akira Toriyama,"38,609",12-17,192,Apr,2008,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Children's Fiction', 'Children's General Story Books', 'Horror & Ghost', 'Fantasy Books for Kids', 'Romance Books for Teenagers', 'Society & Social Issues', 'Relationships']",Thirst No. 3 : The Eternal Dawn,4.15,19450,Christopher Pike,"69,517",12-17,512,Oct,2010,Simon & Schuster,United States,English

"['Open Learning, Home Learning, Distance Education', 'Open Learning, Home Learning, Distance Education', 'Activity Books', 'People & Places', 'Children's Christian Books', 'Children's Health Books', 'Social Issues']",The Body Book,,,Nancy N. Rue,"69,563",9-12,128,Dec,2012,Thomas Nelson Publishers,United States,English

"['Contemporary Fiction', 'Children's General Story Books']",Captain Underpants and the Perilous Plot of Professor Poopypants,4.23,19888,Dav Pilkey,"68,694",12-17,160,Feb,2001,Scholastic,United Kingdom,English

"['Children's Fiction', 'Adventure Books for Kids', 'Mystery Books for Kids', 'Horror & Ghost', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Short Stories for Kids']",The Chronicles of Harris Burdick : 14 Amazing Authors Tell the Tales,4.01,29973,Chris Van Allsburg,"68,732",12-17,208,Oct,2011,Clarion Books,Malaysia,English

"['Children's General Story Books', 'Mystery Books for Kids', 'Horror & Ghost', 'Fantasy Books for Kids', 'Family', 'Funny Books for Kids', 'School Stories', 'English Language: Reading Schemes']",Notebook of Doom: ,4.12,2579,Troy Cummings,"86,421",12-17,92,Jul,2013,Scholastic US,United States,English

"['Christian Spirituality & Religious Experience', 'Christian Life & Practice', 'Christian Instruction', 'Personal Christian Testimony & Popular Inspirational Works', 'Religion & Beliefs']",The Me I Want to Be : Becoming God's Best Version of You,4.11,3768,John Ortberg,"65,935",12-15,272,Nov,2014,ZONDERVAN,United States,English

"['Contemporary Fiction', 'Classic Books & Novels', 'Fantasy', 'Fantasy Books', 'Sagas', 'Religious & Spiritual Fiction', 'Fantasy Books for Kids']",One Hundred Years of Solitude,4.11,896567,Gabriel Garcia Marquez,"66,831",12-15,448,Jun,2006,HarperCollins Publishers Inc,United States,English

['Traditional'],The Wanderings of Odysseus : The Story of The Odyssey,3.86,1633,Rosemary Sutcliff,"56,273",12-17,160,Dec,2005,Bantam Doubleday Dell Publishing Group Inc,United States,English

"['Children's General Story Books', 'Traditional', 'Historical', 'Short Stories for Kids', 'Multiculturalism', 'Social Issues']",All Out: The No-Longer-Secret Stories of Queer Teens Throughout the Ages,3.95,5614,Tess Sharpe,"48,627",12-15,368,Feb,2018,Harlequin Teen,,English

"['Thriller Books', 'Thrillers', 'Children's General Story Books', 'Adventure Books for Kids', 'Thriller Books for Children', 'Mystery Books for Kids', 'School Stories']",STAGS,3.56,9320,M. A. Bennett,"71,822",12-15,320,Aug,2017,Hot Key Books,United Kingdom,English

"['Children's Fiction', 'Adventure Books for Kids', 'Mystery Books for Kids', 'Historical']",Gladiator: Street Fighter,4.11,998,Simon Scarrow,"69,434",9-12,352,Feb,2013,Penguin Random House Children's UK,United Kingdom,English

"['Children's General Story Books', 'Romance Books for Teenagers', 'Funny Books for Kids', 'Self-Esteem']",Tweet Cute : A Novel,3.94,57448,Emma Lord,"63,863",12-15,384,Feb,2021,Wednesday Books,United States,English

"['Children's Books', 'ABC', 'Mysteries & The Supernatural (Children's/YA)', 'Society & Social Issues', 'Children's Health Books', 'Disability', 'Self-Esteem']",ABC for Me: ABC Mindful Me: Volume 4,4.12,158,Christiane Engel,"69,668",12-15,36,Mar,2018,Walter Foster Jr.,United States,English

"['Contemporary Fiction', 'Adventure Books for Kids', 'Thriller Books for Children', 'Mystery Books for Kids']",Avenger,3.88,797,Robert Rigby,"68,916",12-17,320,May,2007,Penguin Random House Children's UK,United Kingdom,English

"['Dictionaries & Dictionary Books', 'General Reference']",Students Companion International Edition. New Edition,3.96,246,Wilfred Best,"69,949",12-17,200,Jun,1991,Pearson Education Limited,United Kingdom,English

"['Adventure Books for Kids', 'Fantasy Books for Kids']",Realm Breaker,3.65,24060,Victoria Aveyard,"62,182",12-15,576,May,2021,HarperTeen,,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Children's Fiction', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Family', 'Graphic Novels']",Snapdragon,4.49,11135,Kat Leyh,"15,285",12-15,240,Feb,2020,Roaring Brook Press,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'People & Places', 'Children's Health Books', 'Social Issues']",A Wish in the Dark,4.33,4849,Christina Soontornvat,"78,170",12-15,384,Sep,2021,"Candlewick Press,U.S.",United States,English

"['Mathematics', 'Popular Science', 'Mathematics & Numeracy', 'General Study Books', 'General Reference']",What's the Point of Maths?,4.36,116,DK,"16,053",12-15,128,Jan,2020,Dorling Kindersley Ltd,United Kingdom,English

"['Adventure Books for Kids', 'Historical', 'Nonfiction History Books for Kids', 'History Books for Kids', 'Citizenship & Social Education']",Egyptology : Search for the Tomb of Osiris,4.19,2303,Dugald A. Steer,"53,169",9-12,32,Nov,2004,"Candlewick Press,U.S.",United States,English

"['Fantasy Books for Kids', 'Romance Books for Teenagers', 'Relationships']",Queen of Coin and Whispers : A kingdom of secrets and a game of lies,3.71,2308,Helen Corcoran,"69,471",12-15,464,Jun,2020,O'Brien Press Ltd,Ireland,English

"['Graphic Novels: Superheroes', 'Graphic Novels: Superheroes', 'Children's Fiction', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Graphic Novels']",Trapped by the Green Goblin! (Marvel: Spider-Man),3.5,52,Francesco Legramandi,"88,657",12-17,24,Jul,2013,Random House USA Inc,United States,English

"['Contemporary Fiction', 'Children's Fiction', 'Children's General Story Books', 'Television & Film']",Sugar and Spice : An LA Candy Novel,3.52,13280,Lauren Conrad,"69,832",12-17,288,Jun,2011,HarperCollins Publishers Inc,United States,English

"['Children's General Story Books', 'Fantasy Books for Kids', 'Traditional', 'People & Places']",The Dragon's Promise,3.82,7823,Elizabeth Lim,"64,204",12-15,496,Oct,2022,Random House USA Inc,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Horror & Ghost', 'Fantasy Books for Kids', 'Romance Books for Teenagers', 'Society & Social Issues']",The Awakening TV Tie-In,3.36,73564,L. J. Smith,"66,403",12-17,272,Jan,2010,HarperCollins Publishers Inc,United States,English

"['Linguistics', 'Sociology', 'Funny Books for Kids']",How to Survive Summer Camp,3.64,1671,Nick Sharratt,"69,109",12-17,224,Jun,2011,Oxford University Press,United Kingdom,English

"['Children's Fiction', 'Classic Books for Children', 'Family', 'Animal Stories', 'Funny Books for Kids']",Paddington At Large,4.16,1895,Peggy Fortnum,"73,769",9-12,144,Jan,2012,HarperCollins Publishers,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Romance Books for Teenagers', 'Society & Social Issues']",The Gray Wolf Throne,4.38,46621,Cinda Williams Chima,"68,658",12-17,544,Aug,2012,Hyperion,United States,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's Fiction', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Graphic Novels']","Pokemon Adventures (Gold and Silver), Vol. 12",4.37,978,Satoshi Yamamoto,"69,218",9-12,208,Jan,2014,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Usage & Grammar Guides', 'Activity Books', 'English Language']",Grammar and Punctuation Workbook (Ages 5-7),,,Lesley Fletcher,"68,776",12-17,96,May,2015,Scholastic,United Kingdom,English

['Biology'],IB Biology Model Answers,,,Richard Allan,"76,036",12-17,72,Oct,2014,Biozone International Ltd,New Zealand,English

"['Graphic Novel & Manga Artwork', 'Funny Books for Kids', 'School Stories', 'Graphic Novels', 'Jokes & Humour']",Big Nate: A Good Old-Fashioned Wedgie,4.14,10617,Lincoln Peirce,"68,585",12-15,176,Sep,2017,Andrews McMeel Publishing,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Television & Film', 'Children's Hobby & Gaming Books', 'Encyclopaedias']",LEGO Star Wars Character Encyclopedia New Edition : with Exclusive Darth Maul Minifigure,4.07,59,Elizabeth Dowsett,"74,872",12-15,224,Apr,2020,DK,,English

"['Biography: General', 'Tips & Advice', 'Travel With Children / Family Holidays', 'Travel Writing', 'Miscellaneous Items', 'People & Places']",Children's Travel Journal,4,3,Ann Banks,"69,714",9-12,48,Nov,2004,"Little Bookroom,U.S.",United States,English

"['Children's General Story Books', 'Fantasy Books for Kids']",H.I.V.E. (Higher Institute of Villainous Education),4.07,14730,Mark Walden,"65,202",9+,320,Sep,2011,Bloomsbury Publishing PLC,United Kingdom,English

"['Children's General Story Books', 'Mystery Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers']",Daughter Of The Burning City,3.68,6583,Amanda Foody,"67,753",12-15,384,Sep,2017,HarperCollins Publishers,United Kingdom,English

"['Sci Fi Books for Kids', 'Fantasy Books for Kids']",Grim Tuesday,3.88,25936,Garth Nix,"68,284",12-17,400,Jun,2004,HarperCollins Publishers,United Kingdom,English

"['Children's Fiction', 'Classic Books for Children', 'Adventure Books for Kids', 'School Stories']",Malory Towers: Second Form : Book 2,4.09,11614,Enid Blyton,"12,995",9+,192,Apr,2016,Hachette Children's Group,United Kingdom,English

"['Adventure Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Funny Books for Kids']",The Wee Free Men : Gift Edition,4.28,105528,Paul Kidby,"48,214",12-15,320,Apr,2017,Penguin Random House Children's UK,United Kingdom,English

"['Horror & Ghost', 'Romance Books for Teenagers', 'Family']",The Mediator: Grave Doubts and Heaven Sent,4.38,2095,Meg Cabot,"66,386",12-17,432,Nov,2018,Pan Macmillan,United Kingdom,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional']",Lioness Rampant,4.27,87307,Tamora Pierce,"69,633",12-17,368,Apr,2011,Simon & Schuster,United States,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Funny Books for Kids']",The Crossing of Ingo,4.1,3195,Helen Dunmore,"64,882",10+,432,Jul,2012,HarperCollins Publishers,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Romance Books for Teenagers', 'Disability', 'Multiculturalism', 'Relationships', 'Social Issues', 'Children's Religious Books']",Counting Down with You,4.07,16090,Tashie Bhuiyan,"72,694",12-15,464,May,2021,Inkyard Press,,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids']",The Testing 3: Graduation Day,3.83,30861,Joelle Charbonneau,"68,112",12+,368,Jul,2014,Templar Publishing,United Kingdom,English

"['Thriller Books for Children', 'Sci Fi Books for Kids', 'Traditional']",Winter : Book Four of the Lunar Chronicles,4.43,252063,Marissa Meyer,"70,500",12-15,832,Aug,2020,Square Fish,,English

"['Classic Books & Novels', 'Classic Books for Children']",Great Expectations,3.79,752772,Charles Dickens,"28,280",12-15,512,Sep,2020,Wordsworth Editions Ltd,United Kingdom,English

"['Children's General Story Books', 'Horror & Ghost', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",Vespertine,4.14,13736,Margaret Rogerson,"83,227",12-15,400,Oct,2021,Margaret K. McElderry Books,,English

"['Classic Books for Children', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Family', 'Family Issues']","Borrowers Afield, the",4.07,11944,Mary Norton,"70,981",9-12,224,Feb,2007,Harcourt Children's Books,,English

"['Fantasy Books for Kids', 'Romance Books for Teenagers']",Wild Beauty,3.63,7558,Anna-Marie McLemore,"73,008",12-15,352,Oct,2017,FEIWEL & FRIENDS,,English

"['Fantasy', 'Fantasy Books', 'Children's Fiction', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Sports Stories']",The Caverns of Kalte : Lone Wolf ,3.91,843,Gary Chalk,"25,039",12-15,224,Jan,2023,Holmgard Press,,English

"['Romance', 'Romance Books', 'Fantasy Books for Kids']",Opal (Lux - Book Three),4.26,144399,Jennifer L. Armentrout,"64,083",,400,Apr,2015,Hodder & Stoughton,United Kingdom,English

['Mathematics & Numeracy'],Target Your Maths Year 3,4.25,28,Stephen Pearce,"66,836",12-17,136,Nov,2014,Elmwood Education Limited,United Kingdom,English

"['Fantasy', 'Fantasy Books', 'Children's Fiction', 'Fantasy Books for Kids']","Torture Princess: Fremd Torturchen, Vol. 1 (light novel)",3.79,263,Saki Ukai,"23,060",12-15,192,May,2019,"Little, Brown & Company",United States,English

"['Sexual Behaviour', 'Popular Medicine & Health', 'Sex & Sexuality, Sex Manuals', 'Sex Education']","S.E.X., second edition : The All-You-Need-To-Know Sexuality Guide to Get You Through Your Teens and Twenties",4.45,315,Heather Corinna,"54,691",12-15,480,Jul,2016,HACHETTE BOOKS,United States,English

"['Study & Learning Skills: General', 'Study & Learning Skills: General', 'Science: General Issues', 'Science', 'Sciences']",Cambridge Checkpoint Science Student's Book 1,4.5,12,Peter Riley,"62,887",12-17,256,Jun,2011,Hodder Education,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Romance Books for Teenagers', 'School Stories']",Angel Cake,3.98,3944,Cathy Cassidy,"65,863",9-12,256,Jun,2011,Penguin Random House Children's UK,United Kingdom,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Mystery Books for Kids', 'Funny Books for Kids', 'School Stories', 'English Language: Reading Schemes', 'Children's Foreign Language Books']",Junie B. Jones Third Boxed Set Ever! : Books 9-12,4.2,744,Denise Brunkus,"70,346",9-12,,May,2003,Random House USA Inc,United States,English

"['Mathematics', 'Mathematics & Numeracy']","Math Practice, Grade 4",3.67,12,Carson Dellosa Education,"70,212",9-12,128,Jun,2009,Frank Schaffer Publications,,English

"['General Knowledge', 'Nonfiction History Books for Kids', 'People & Places', 'Dinosaurs', 'Science', 'Citizenship & Social Education', 'Sciences']","Unstoppable Us, Volume 1 : How Humans Took Over the World, from the author of the multi-million bestselling Sapiens",,,Ricard Zaplana Ruiz,"83,371",12-15,208,Oct,2022,Penguin Random House Children's UK,United Kingdom,English

"['Children's Fiction', 'Historical']","Tanglewoods' Secret, The",4.06,1559,Patricia M. St. John,"69,702",9-12,168,Jul,2001,Moody Publishers,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Funny Books for Kids', 'Graphic Novels', 'Relationships']",Dork Diaries Boxed Set (Books 4-6) : Dork Diaries 4; Dork Diaries 5; Dork Diaries 6,4.54,755,Rachel Renee Russell,"43,818",9-12,1056,Oct,2013,Aladdin Paperbacks,,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Fantasy Books for Kids', 'Graphic Novels']","W.I.T.C.H. Part 2, Vol. 3 : Nerissa's Revenge",4.29,397,Disney,"46,753",12-15,240,Jan,2018,"Little, Brown & Company",United States,English

"['Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Family', 'Family Issues']",A Snicker of Magic (Scholastic Gold),4.08,13149,Natalie Lloyd,"68,551",9-12,336,Apr,2015,Scholastic US,United States,English

"['Horror & Ghost', 'Fantasy Books for Kids', 'Funny Books for Kids']",Revenge of the Living Dummy (Goosebumps Horrorland ,3.88,3763,"R,L Stine","57,889",9-12,144,Apr,2008,Scholastic US,United States,English

['Hand Writing'],Handwriting: Cursive Workbook,3.9,60,Carson Dellosa Education,"41,698",12-17,80,Mar,2015,Brighter Child,,English

"['Fantasy', 'Fantasy Books', 'Classic Books for Children', 'Children's General Story Books', 'Fantasy Books for Kids', 'School Stories']",Harry Potter and the Goblet of Fire,4.56,3327849,J. K. Rowling,"70,044",9+,640,Aug,2015,Bloomsbury Publishing PLC,United Kingdom,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Animal Stories']",Dragondrums,4.09,34553,Anne Mccaffrey,"69,743",9-12,240,Apr,2003,Simon & Schuster,United States,English

"['Wildlife', 'English Language: Reading & Writing Skills']",I and You and Don't Forget Who : What is a Pronoun?,3.93,191,Brian Cleary,"67,845",9-12,32,Aug,2006,Lerner Publishing Group,United States,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Children's Fiction', 'Adventure Books for Kids', 'Graphic Novels']",Lucky Luke 29 - The Grand Duke,3.87,408,Morris & Goscinny,"9,522",12-17,48,Oct,2011,Cinebook Ltd,United Kingdom,English

"['Language: Reference & General', 'English Language: Reading Schemes', 'English Language: Reading & Writing Skills']",Oxford Reading Tree: Level 6: More Stories A: Christmas Adventure,3.85,33,Alex Brychta,"60,058",12-17,24,Jan,2011,Oxford University Press,United Kingdom,English

"['Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Family', 'Family Issues']",A Snicker of Magic (Scholastic Gold),4.08,13149,Natalie Lloyd,"68,551",9-12,336,Apr,2015,Scholastic US,United States,English

"['Adventure Books for Kids', 'Horror & Ghost', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'English Language: Reading Schemes']",Beast Quest: Creta the Winged Terror : Special 5,4.07,87,Adam Blade,"69,918",12-17,192,Aug,2014,Hachette Children's Group,United Kingdom,English

"['Contemporary Fiction', 'Horror', 'Horror', 'Science Fiction', 'Science Fiction', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's Fiction', 'Graphic Novels']",Attack on Titan: Colossal Edition 6,4.67,200,Hajime Isayama,"68,083",12-15,960,Nov,2021,"Kodansha America, Inc",United States,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Animal Stories']","Dinotopia, Journey To Chandara",4.32,1328,James Gurney,"70,311",12-15,160,Aug,2017,Dover Publications Inc.,United States,English

